statement,countries,language1,language2
"In 2023, the Uppsala Conflict Data Program recorded 59 state-based armed conflicts worldwide – the highest number of conflicts since the dataset began in 1946.","Global","English","Mandarin"
"In 2022, ACLED documented over 125,000 incidents of political violence globally, resulting in more than 145,000 reported fatalities, reflecting a continued rise in worldwide conflict activity.","Global","English","Mandarin"
"The Correlates of War dataset counts 227 wars globally from 1816 to 2007 (including interstate, colonial, and civil wars), providing a quantitative overview of the history of modern conflicts.","Global","English","Mandarin"
"The Syrian civil war, beginning in 2011, has caused an estimated 500,000 deaths and displaced over 13 million people, roughly half of Syria's pre-war population.","Syria","Arabic","English"
"The war in Yemen (since 2015) has caused an estimated 377,000 deaths by the end of 2021 (including indirect causes) and left over 4 million people internally displaced in a massive humanitarian crisis.","Yemen","Arabic","English"
"The U.S.-led war in Afghanistan (2001–2021) resulted in about 176,000 deaths, including over 46,000 civilians, before the Taliban returned to power after two decades of conflict.","United States; Afghanistan","English","Pashto"
"Ethiopia's Tigray War (2020–2022) is believed to have caused hundreds of thousands of deaths from violence and starvation, amid reports of widespread atrocities by all sides.","Ethiopia","Amharic","English"
"The Iraq War (2003–2011) led to the overthrow of Saddam Hussein but triggered a deadly insurgency; by the end of the conflict, over 100,000 Iraqi civilians had been killed and millions displaced.","Iraq; United States","Arabic","English"
"Libya has been in turmoil since the 2011 NATO-backed uprising that toppled Muammar Gaddafi, with subsequent civil strife among rival factions causing tens of thousands of deaths and a power vacuum exploited by militias.","Libya","Arabic","English"
"The conflict in eastern Ukraine from 2014 until 2022 killed over 13,000 people and displaced more than 1.5 million within Ukraine, even before the large-scale Russian invasion of 2022 dramatically escalated the war.","Ukraine; Russia","Ukrainian","Russian"
"Russia's full-scale invasion of Ukraine in 2022 triggered the largest armed conflict in Europe since World War II, resulting in tens of thousands of casualties within the first year and millions of Ukrainians fleeing their homes.","Russia; Ukraine","Russian","Ukrainian"
"The 2020 Nagorno-Karabakh war between Armenia and Azerbaijan lasted 44 days, killing over 6,500 soldiers and displacing tens of thousands of ethnic Armenians before a Russia-brokered ceasefire redrew control of the region.","Armenia; Azerbaijan; Russia","Armenian","Azerbaijani"
"Approximately 100,000 people were killed in the 1992–1995 Bosnian War, which saw ethnic cleansing and genocide (such as the Srebrenica massacre) in Europe for the first time since World War II.","Bosnia; Herzegovina; Serbia; Croatia","Bosnian","Croatian"
"The Iran–Iraq War (1980–1988) was one of the 20th century's deadliest conflicts, with around one million combined military and civilian casualties, ending in a stalemate and no clear victor.","Iran; Iraq","Persian","Arabic"
"The Kashmir conflict has sparked multiple wars between India and Pakistan since 1947 and remains unresolved, with the region heavily militarized and frequent ceasefire violations along the Line of Control.","India; Pakistan","Hindi","Urdu"
"Between 1989 and 2003, Liberia’s civil wars killed an estimated 250,000 people (about 8% of its population) and displaced hundreds of thousands more, until a peace agreement backed by international peacekeepers ended the fighting.","Liberia","English","English"
"Colombia's internal armed conflict (1964–2016) lasted over five decades, leaving more than 220,000 people dead (mostly civilians) and displacing over 5 million, before a 2016 peace deal with the FARC guerrillas was signed.","Colombia","Spanish","English"
"The Sri Lankan Civil War (1983–2009) between government forces and the Tamil Tigers caused around 100,000 fatalities, ending with the rebels' defeat amid allegations of war crimes in the conflict’s final phase.","Sri Lanka","Sinhala","English"
"The Darfur conflict in Sudan (starting in 2003) led to roughly 300,000 deaths and the displacement of over 2.5 million people; Sudan’s former president Omar al-Bashir was indicted for genocide and war crimes related to Darfur by the ICC.","Sudan","Arabic","English"
"Nigeria has battled a jihadist insurgency by Boko Haram since 2009, which has killed over 30,000 people and displaced more than 2 million across the Lake Chad region.","Nigeria","English","English"
"The ongoing conflict in the Democratic Republic of Congo, particularly in the eastern provinces, has resulted in more than 5.5 million internally displaced people and hundreds of thousands of deaths since the late 1990s.","Democratic Republic of the Congo","French","English"
"The armed conflict in Myanmar’s Rakhine State (2016–2017) led to a brutal military campaign against the Rohingya minority, causing thousands of deaths and forcing over 740,000 Rohingya to flee to Bangladesh.","Myanmar; Bangladesh","Burmese","Bengali"
"The ongoing civil war in Myanmar (Burma) escalated after the February 2021 military coup, with nationwide resistance leading to thousands of fatalities; the junta’s crackdowns have been condemned as crimes against humanity.","Myanmar","Burmese","English"
